List,world,type
Sublist 6,educational,adj
Sublist 6,effectively,adv
Sublist 6,effectiveness,n
Sublist 6,effort,n
Sublist 6,employ,v
Sublist 6,entry,n
Sublist 6,ethical,adj
Sublist 6,evolve,v
Sublist 6,existence,n
Sublist 6,expand,v
Sublist 6,expansion,n
Sublist 6,experimental,adj
Sublist 6,extend,v
Sublist 6,force,n
Sublist 6,formal,adj
Sublist 6,furthermore,adv
Sublist 6,gain,n
Sublist 6,gain,v
Sublist 6,generation,n
Sublist 6,highlight,v
Sublist 6,identification,n
Sublist 6,image,n
Sublist 6,improvement,n
Sublist 6,including,prep
Sublist 6,induce,v
Sublist 6,inequality,n
Sublist 6,insight,n
Sublist 6,instance,n
Sublist 6,integrate,v
Sublist 6,introduce,v
Sublist 6,maximum,adj
Sublist 6,maximum,n
Sublist 6,might,modal
Sublist 6,might,v
Sublist 6,migration,n
Sublist 6,minority,n
Sublist 6,modify,v
Sublist 6,must,modal
Sublist 6,must,v
Sublist 6,new,adj
Sublist 6,offer,v
Sublist 6,option,n
Sublist 6,part,n
Sublist 6,participate,v
Sublist 6,percentage,n
Sublist 6,potentially,adv
Sublist 6,preference,n
Sublist 6,presence,n
Sublist 6,previous,adj
Sublist 6,previously,adv
Sublist 6,primarily,adv
Sublist 6,psychological,adj
Sublist 6,qualitative,adj
Sublist 6,quantity,n
Sublist 6,reasonable,adj
Sublist 6,responsibility,n
Sublist 6,restrict,v
Sublist 6,restriction,n
Sublist 6,science,n
Sublist 6,scope,n
Sublist 6,sense,n
Sublist 6,shift,n
Sublist 6,should,modal
Sublist 6,should,v
Sublist 6,significance,n
Sublist 6,space,n
Sublist 6,spatial,adj
Sublist 6,stability,n
Sublist 6,stable,adj
Sublist 6,statement,n
Sublist 6,statistical,adj
Sublist 6,structural,adj
Sublist 6,sufficient,adj
Sublist 6,technological,adj
Sublist 6,treat,v
Sublist 6,violence,n
Sublist 6,welfare,n
Sublist 6,world,n
Sublist 7,act,n
Sublist 7,act,v
Sublist 7,adaptation,n
Sublist 7,aim,n
Sublist 7,aim,v
Sublist 7,alter,v
Sublist 7,animal,n
Sublist 7,author,n
Sublist 7,availability,n
Sublist 7,awareness,n
Sublist 7,balance,n
Sublist 7,balance,v
Sublist 7,barrier,n
Sublist 7,base,n
Sublist 7,base,v
Sublist 7,capability,n
Sublist 7,commercial,adj
Sublist 7,commitment,n
Sublist 7,composition,n
Sublist 7,consequently,adv
Sublist 7,construction,n
Sublist 7,contemporary,adj
Sublist 7,continuous,adj
Sublist 7,conventional,adj
Sublist 7,cooperation,n
Sublist 7,correlate,v
Sublist 7,corresponding,adj
Sublist 7,crucial,adj
Sublist 7,description,n
Sublist 7,device,n
Sublist 7,duration,n
Sublist 7,dynamic,adj
Sublist 7,dynamic,n
Sublist 7,encourage,v
Sublist 7,entity,n
Sublist 7,equivalent,adj
Sublist 7,equivalent,n
Sublist 7,especially,adv
Sublist 7,essentially,adv
Sublist 7,evolutionary,adj
Sublist 7,examination,n
Sublist 7,exception,n
Sublist 7,exercise,n
Sublist 7,exercise,v
Sublist 7,expression,n
Sublist 7,facility,n
Sublist 7,federal,adj
Sublist 7,formula,n
Sublist 7,frequently,adv
Sublist 7,gap,n
Sublist 7,incorporate,v
Sublist 7,increasingly,adv
Sublist 7,instrument,n
Sublist 7,intensity,n
Sublist 7,interact,v
Sublist 7,interval,n
Sublist 7,justify,v
Sublist 7,largely,adv
Sublist 7,located,adj
Sublist 7,logic,n
Sublist 7,medical,adj
Sublist 7,monitor,v
Sublist 7,motivation,n
Sublist 7,namely,adv
Sublist 7,online,adj
Sublist 7,orientation,n
Sublist 7,original,adj
Sublist 7,position,n
Sublist 7,position,v
Sublist 7,poverty,n
Sublist 7,prevention,n
Sublist 7,private,adj
Sublist 7,professional,adj
Sublist 7,professional,n
Sublist 7,profile,n
Sublist 7,rapid,adj
Sublist 7,rational,adj
Sublist 7,reality,n
Sublist 7,recently,adv
Sublist 7,recognition,n
Sublist 7,recognize,v
Sublist 7,rural,adj
Sublist 7,scenario,n
Sublist 7,second,adv
Sublist 7,security,n
Sublist 7,segment,n
Sublist 7,sex,n
Sublist 7,share,n
Sublist 7,share,v
Sublist 7,skill,n
Sublist 7,software,n
Sublist 7,subsequent,adj
Sublist 7,summarize,v
Sublist 7,survival,n
Sublist 7,systematic,adj
Sublist 7,theme,n
Sublist 7,thereby,adv
Sublist 7,topic,n
Sublist 7,training,n
Sublist 7,transformation,n
Sublist 7,transport,n
