A,B,C
241,VER,shall
242,VER,consider
243,VER,press
244,VER,stream
245,VER,achieve
246,VER,cap
247,VER,fight
248,VER,measure
249,VER,part
250,VER,pass
251,VER,rent
252,VER,char
253,VER,diagnose
254,VER,reveal
255,VER,state
256,VER,supply
257,VER,sing
258,VER,guess
259,VER,raise
260,VER,generate
261,VER,monitor
262,VER,process
263,VER,capture
264,VER,promote
265,VER,hike
266,VER,link
267,VER,mark
268,VER,store
269,VER,exercise
270,VER,issue
271,VER,participate
272,VER,calculate
273,VER,describe
274,VER,deter
275,VER,seek
276,VER,determine
277,VER,tar
278,VER,inspire
279,VER,target
280,VER,decide
281,VER,compare
282,VER,care
283,VER,shop
284,VER,collect
285,VER,compete
286,VER,rank
287,VER,solve
288,VER,upload
289,VER,control
290,VER,charge
291,VER,expect
292,VER,maintain
293,VER,coach
294,VER,represent
295,VER,vote
296,VER,head
297,VER,modify
298,VER,subscribe
299,VER,date
300,VER,assign
301,VER,excel
302,VER,market
303,VER,celebrate
304,VER,cast
305,VER,track
306,VER,consume
307,VER,cost
308,VER,gain
309,VER,act
310,VER,arrive
311,VER,convert
312,VER,enroll
313,VER,load
314,VER,direct
315,VER,delete
316,VER,sleep
317,VER,pour
318,VER,situate
319,VER,stop
320,VER,affect
321,VER,obtain
322,VER,deploy
323,VER,attack
324,VER,marry
325,VER,opt
326,VER,back
327,VER,integrate
328,VER,log
329,VER,stand
330,VER,schedule
331,VER,don
332,VER,climb
333,VER,browse
334,VER,accept
335,VER,dress
336,VER,pack
337,VER,sew
338,VER,assess
339,VER,conduct
340,VER,dry
341,VER,preheat
342,VER,wait
343,VER,reach
344,VER,rest
345,VER,detect
346,VER,recruit
347,VER,donate
348,VER,encourage
349,VER,quote
350,VER,trump
351,VER,avoid
352,VER,optimize
353,VER,analyze
354,VER,argue
355,VER,beat
356,VER,execute
357,VER,tap
358,VER,catch
359,VER,notice
360,VER,relax
361,VER,request
362,VER,suggest
363,VER,wash
364,VER,close
365,VER,organize
366,VER,program
367,VER,sail
368,VER,ski
369,VER,fuck
370,VER,realize
371,VER,smoke
372,VER,cop
373,VER,end
374,VER,refer
375,VER,own
376,VER,deal
377,VER,hand
378,VER,rise
379,VER,transfer
380,VER,customize
381,VER,decorate
382,VER,pit
383,VER,wonder
384,VER,found
385,VER,qualify
386,VER,relate
387,VER,repair
388,VER,drag
389,VER,hang
390,VER,license
391,VER,pitch
392,VER,unlock
393,VER,award
394,VER,comb
395,VER,honor
396,VER,render
397,VER,advise
398,VER,cool
399,VER,destroy
400,VER,reply
401,VER,suffer
402,VER,breed
403,VER,brew
404,VER,examine
405,VER,scan
406,VER,associate
407,VER,introduce
408,VER,wish
409,VER,adopt
410,VER,agree
411,VER,tune
412,VER,e-mail
413,VER,approve
414,VER,attach
415,VER,handle
416,VER,survive
417,VER,blend
418,VER,bless
419,VER,secure
420,VER,throw
421,VER,attract
422,VER,copy
423,VER,demonstrate
424,VER,figure
425,VER,import
426,VER,address
427,VER,drop
428,VER,establish
429,VER,fall
430,VER,fish
431,VER,manufacture
432,VER,sprinkle
433,VER,verify
434,VER,construct
435,VER,defeat
436,VER,lift
437,VER,tip
438,VER,combine
439,VER,glue
440,VER,match
441,VER,stitch
442,VER,twitter
443,VER,fill
444,VER,grade
445,VER,switch
446,VER,communicate
447,VER,craft
448,VER,cruise
449,VER,photograph
450,VER,equip
451,VER,price
452,VER,compute
453,VER,arrest
454,VER,fire
455,VER,invite
456,VER,restore
457,VER,color
458,VER,tend
459,VER,translate
460,VER,bid
461,VER,free
462,VER,grab
463,VER,heat
464,VER,indicate
465,VER,observe
466,VER,estimate
467,VER,laugh
468,VER,miss
469,VER,finance
470,VER,house
471,VER,lay
472,VER,machine
473,VER,undertake
474,VER,volunteer
475,VER,wake
476,VER,adjust
477,VER,dance
478,VER,evaluate
479,VER,heal
480,VER,last
481,VER,mention
482,VER,cancel
483,VER,credit
484,VER,hack
485,VER,smell
486,VER,upgrade
487,VER,backup
488,VER,boost
489,VER,forge
490,VER,harvest
491,VER,insure
492,VER,skate
493,VER,acquire
494,VER,break
495,VER,consist
496,VER,draft
497,VER,drill
498,VER,pursue
499,VER,recognize
500,VER,redeem
501,VER,swim
502,VER,trust
503,VER,code
504,VER,export
505,VER,guarantee
506,VER,hate
507,VER,jump
508,VER,spray
509,VER,suit
510,VER,whisk
511,VER,aver
512,VER,navigate
513,VER,reserve
514,VER,sponsor
515,VER,tie
516,VER,block
517,VER,format
518,VER,hunt
519,VER,involve
520,VER,push
521,VER,specialize
522,VER,utilize
523,VER,assume
524,VER,chat
525,VER,comprise
526,VER,contribute
527,VER,flavor
528,VER,hurt
529,VER,practice
530,VER,prescribe
531,VER,refinance
532,VER,resume
533,VER,smile
534,VER,burn
535,VER,filter
536,VER,permit
537,VER,power
538,VER,recover
539,VER,respond
540,VER,retire
541,VER,average
542,VER,compose
543,VER,disable
544,VER,land
545,VER,point
546,VER,divide
547,VER,forget
548,VER,struggle
549,VER,trail
550,VER,type
551,VER,appreciate
552,VER,grant
553,VER,insert
554,VER,mail
555,VER,roll
556,VER,shake
557,VER,strike
558,VER,top
559,VER,author
560,VER,boot
561,VER,brand
562,VER,commit
563,VER,imagine
564,VER,plug
565,VER,preset
566,VER,remain
567,VER,simmer
568,VER,cry
569,VER,cure
570,VER,dive
571,VER,employ
572,VER,knit
573,VER,resolve
574,VER,aim
575,VER,authorize
576,VER,ban
577,VER,confirm
578,VER,face
579,VER,forecast
580,VER,highlight
581,VER,melt
582,VER,preach
583,VER,service
584,VER,suppose
585,VER,weigh
586,VER,wheel
587,VER,boast
588,VER,compile
589,VER,decrease
590,VER,depict
591,VER,express
592,VER,film
593,VER,fold
594,VER,fund
595,VER,nod
596,VER,prefer
597,VER,tweet
598,VER,illustrate
599,VER,light
600,VER,massage
601,VER,ought
602,VER,park
603,VER,personalize
604,VER,pin
605,VER,stare
606,VER,archive
607,VER,bat
608,VER,borrow
609,VER,depart
610,VER,encode
611,VER,expire
612,VER,hide
613,VER,label
614,VER,plot
615,VER,repeat
616,VER,spell
617,VER,sum
618,VER,worry
619,VER,brush
620,VER,count
621,VER,cross
622,VER,dig
623,VER,enhance
624,VER,surf
625,VER,transform
626,VER,trigger
627,VER,activate
628,VER,administer
629,VER,certify
630,VER,cycle
631,VER,exist
632,VER,extract
633,VER,fail
634,VER,frame
635,VER,kindle
636,VER,level
637,VER,pair
638,VER,shave
639,VER,stick
640,VER,stock
641,VER,toss
642,VER,accredit
643,VER,bloom
644,VER,command
645,VER,console
646,VER,dream
647,VER,expand
648,VER,kick
649,VER,rinse
650,VER,slice
651,VER,abstract
652,VER,breathe
653,VER,comply
654,VER,consult
655,VER,dam
656,VER,flow
657,VER,formulate
658,VER,incorporate
659,VER,pop
660,VER,sigh
661,VER,strengthen
662,VER,tax
663,VER,age
664,VER,distribute
665,VER,exhibit
666,VER,freeze
667,VER,mine
668,VER,model
669,VER,resort
670,VER,stain
671,VER,tour
672,VER,vary
673,VER,arrange
674,VER,bind
675,VER,clear
676,VER,notify
677,VER,possess
678,VER,predict
679,VER,preview
680,VER,recycle
681,VER,ring
682,VER,spread
683,VER,suck
684,VER,tack
685,VER,air
686,VER,eliminate
687,VER,guide
688,VER,interview
689,VER,lie
690,VER,lock
691,VER,overcome
692,VER,propose
693,VER,restart
694,VER,rule
695,VER,steal
696,VER,summon
697,VER,swing
698,VER,tackle
699,VER,worship
700,VER,arise
701,VER,bear
702,VER,behold
703,VER,damage
704,VER,decline
705,VER,drone
706,VER,fax
707,VER,lodge
708,VER,precede
709,VER,reflect
710,VER,relieve
711,VER,remind
712,VER,rip
713,VER,screen
714,VER,step
715,VER,assemble
716,VER,board
717,VER,dial
718,VER,encrypt
719,VER,limit
720,VER,master
721,VER,multiply
722,VER,officiate
723,VER,owe
724,VER,pad
725,VER,prove
726,VER,quit
727,VER,range
728,VER,react
729,VER,refuse
730,VER,roam
731,VER,scroll
732,VER,spawn
733,VER,symbolize
734,VER,tow
735,VER,align
736,VER,appoint
737,VER,broadcast
738,VER,crochet
739,VER,declare
740,VER,detail
741,VER,embed
742,VER,fan
743,VER,glance
744,VER,infect
745,VER,investigate
746,VER,nurse
747,VER,pee
748,VER,progress
749,VER,reset
750,VER,reward
751,VER,scout
752,VER,seal
753,VER,sow
754,VER,stamp
755,VER,zip
756,VER,awake
757,VER,cleanse
758,VER,ferment
759,VER,game
760,VER,hatch
761,VER,lean
762,VER,lower
763,VER,map
764,VER,package
765,VER,paddle
766,VER,paste
767,VER,posit
768,VER,sculpt
769,VER,spin
770,VER,term
771,VER,abuse
772,VER,accommodate
773,VER,brake
774,VER,depend
775,VER,entitle
776,VER,hydrate
777,VER,position
778,VER,regulate
779,VER,scale
780,VER,screw
781,VER,stretch
782,VER,value
783,VER,water
784,VER,alert
785,VER,automate
786,VER,awaken
787,VER,backpack
788,VER,bend
789,VER,bow
790,VER,challenge
791,VER,convict
792,VER,evolve
793,VER,exit
794,VER,exploit
795,VER,fast
796,VER,freelance
797,VER,inspect
798,VER,kiss
799,VER,negotiate
800,VER,quilt
801,VER,recall
802,VER,regard
803,VER,result
804,VER,rub
805,VER,scrap
806,VER,spot
807,VER,style
808,VER,waste
809,VER,advertise
810,VER,bike
811,VER,cheat
812,VER,chew
813,VER,clip
814,VER,collaborate
815,VER,deny
816,VER,erase
817,VER,flower
818,VER,furnish
819,VER,gather
820,VER,headquarter
821,VER,inform
822,VER,interact
823,VER,interpret
824,VER,lease
825,VER,lend
826,VER,manifest
827,VER,meditate
828,VER,merge
829,VER,nourish
830,VER,proceed
831,VER,repay
832,VER,rescue
833,VER,research
834,VER,rock
835,VER,succeed
836,VER,swap
837,VER,swell
838,VER,transmit
839,VER,violate
840,VER,admit
841,VER,bury
842,VER,conceive
843,VER,cope
844,VER,demand
845,VER,deposit
846,VER,fasten
847,VER,grin
848,VER,haul
849,VER,inch
850,VER,max
851,VER,obey
852,VER,oversee
853,VER,practise
854,VER,retail
855,VER,retrieve
856,VER,slide
857,VER,squat
858,VER,thread
859,VER,title
860,VER,trim
861,VER,wind
862,VER,benefit
863,VER,brown
864,VER,classify
865,VER,defend
866,VER,denote
867,VER,derive
868,VER,diet
869,VER,divorce
870,VER,elect
871,VER,enlist
872,VER,invoke
873,VER,judge
874,VER,leak
875,VER,moisturize
876,VER,renew
877,VER,repent
878,VER,sharpen
879,VER,snap
880,VER,stimulate
881,VER,sue
882,VER,trace
883,VER,undergo
884,VER,vomit
885,VER,weave
886,VER,weld
887,VER,wipe
888,VER,wrap
889,VER,amend
890,VER,audit
891,VER,camp
892,VER,deduct
893,VER,dip
894,VER,document
895,VER,empower
896,VER,flash
897,VER,franchise
898,VER,influence
899,VER,intend
900,VER,monetize
901,VER,motivate
902,VER,net
903,VER,object
904,VER,pat
905,VER,picture
906,VER,pose
907,VER,prohibit
908,VER,shift
909,VER,skip
910,VER,speed
911,VER,survey
912,VER,tattoo
913,VER,vent
914,VER,whip
915,VER,absorb
916,VER,advance
917,VER,analyse
918,VER,attribute
919,VER,bar
920,VER,chart
921,VER,cite
922,VER,coordinate
923,VER,cultivate
924,VER,desire
925,VER,dine
926,VER,discharge
927,VER,disclose
928,VER,enlarge
929,VER,expose
930,VER,extend
931,VER,groom
932,VER,hover
933,VER,imply
934,VER,inhibit
935,VER,isolate
936,VER,itch
937,VER,line
938,VER,maximize
939,VER,network
940,VER,peel
941,VER,preserve
942,VER,refrigerate
943,VER,relocate
944,VER,roast
945,VER,row
946,VER,sand
947,VER,scam
948,VER,scream
949,VER,sentence
950,VER,signify
951,VER,slow
952,VER,socialize
953,VER,solder
954,VER,sour
955,VER,streamline
956,VER,stroke
957,VER,supervise
958,VER,supplement
959,VER,terminate
960,VER,testify
961,VER,threaten
962,VER,tighten
963,VER,total
964,VER,touch
965,VER,transport
966,VER,wander
967,VER,yell
968,VER,yield
969,VER,zoom
970,VER,addict
971,VER,approach
972,VER,augment
973,VER,bottle
974,VER,bowl
975,VER,characterize
976,VER,clock
977,VER,coat
978,VER,commence
979,VER,conclude
980,VER,crawl
981,VER,dare
982,VER,debug
983,VER,descend
984,VER,disconnect
985,VER,engineer
986,VER,force
987,VER,impose
988,VER,induce
989,VER,knock
990,VER,lick
991,VER,mold
992,VER,narrate
993,VER,nest
994,VER,partner
995,VER,peak
996,VER,port
997,VER,predecease
998,VER,project
999,VER,puzzle
1000,VER,redirect
1001,VER,retain
1002,VER,risk
1003,VER,scrape
1004,VER,seat
1005,VER,settle
1006,VER,sort
1007,VER,source
1008,VER,stem
1009,VER,thrive
1010,VER,venture
1011,VER,wire
1012,VER,withdraw
1013,VER,wrestle
1014,VER,accomplish
1015,VER,accuse
1016,VER,adore
1017,VER,allege
1018,VER,audition
1019,VER,bait
1020,VER,blow
1021,VER,boil
1022,VER,bug
1023,VER,butt
1024,VER,cash
1025,VER,counter
1026,VER,crash
1027,VER,debit
1028,VER,deserve
1029,VER,dissolve
1030,VER,distil
1031,VER,engrave
1032,VER,excite
1033,VER,fade
1034,VER,inhale
1035,VER,injure
1036,VER,interface
1037,VER,makeover
1038,VER,matter
1039,VER,mess
1040,VER,migrate
1041,VER,oppose
1042,VER,overlook
1043,VER,phone
1044,VER,piece
1045,VER,query
1046,VER,rap
1047,VER,rout
1048,VER,sample
1049,VER,skateboard
1050,VER,sketch
1051,VER,skin
1052,VER,snorkel
1053,VER,stack
1054,VER,tape
1055,VER,team
1056,VER,telephone
1057,VER,trek
1058,VER,trick
1059,VER,trouble
1060,VER,tutor
1061,VER,tweak
1062,VER,unite
1063,VER,urge
1064,VER,vacuum
1065,VER,validate
1066,VER,warm
1067,VER,warn
1068,VER,witness
1069,VER,accompany
1070,VER,acknowledge
1071,VER,affiliate
1072,VER,animate
1073,VER,appeal
1074,VER,aspire
1075,VER,batter
1076,VER,belong
1077,VER,bite
1078,VER,bud
1079,VER,bulk
1080,VER,bundle
1081,VER,button
1082,VER,commute
1083,VER,concentrate
1084,VER,conquer
1085,VER,discard
1086,VER,dispatch
1087,VER,drain
1088,VER,dribble
1089,VER,embroider
1090,VER,enact
1091,VER,escape
1092,VER,exchange
1093,VER,floss
1094,VER,forgive
1095,VER,grill
1096,VER,grind
1097,VER,image
1098,VER,incur
1099,VER,index
1100,VER,invent
1101,VER,message
1102,VER,mint
1103,VER,motor
1104,VER,murder
1105,VER,outline
1106,VER,output
1107,VER,outsource
1108,VER,parse
1109,VER,praise
1110,VER,promise
1111,VER,reference
1112,VER,refund
1113,VER,reverse
1114,VER,ripen
1115,VER,rot
1116,VER,section
1117,VER,shut
1118,VER,simplify
1119,VER,soak
1120,VER,sprint
1121,VER,strain
1122,VER,tone
1123,VER,tread
1124,VER,troubleshoot
1125,VER,visualize
1126,VER,affirm
1127,VER,balance
1128,VER,bark
1129,VER,bet
1130,VER,bond
1131,VER,budget
1132,VER,cater
1133,VER,chase
1134,VER,chop
1135,VER,chuck
1136,VER,combat
1137,VER,comfort
1138,VER,conceal
1139,VER,correspond
1140,VER,double
1141,VER,educate
1142,VER,emerge
1143,VER,entail
1144,VER,equal
1145,VER,exceed
1146,VER,exclude
1147,VER,facilitate
1148,VER,flee
1149,VER,fry
1150,VER,greet
1151,VER,hook
1152,VER,ignite
1153,VER,ignore
1154,VER,inject
1155,VER,intern
1156,VER,outperform
1157,VER,plate
1158,VER,propagate
1159,VER,prune
1160,VER,reboot
1161,VER,rename
1162,VER,root
1163,VER,rotate
1164,VER,square
1165,VER,strum
1166,VER,sustain
1167,VER,tan
1168,VER,tick
1169,VER,truck
1170,VER,whisper
1171,VER,woo
1172,VER,abandon
1173,VER,adapt
1174,VER,admire
1175,VER,afford
1176,VER,allocate
1177,VER,authenticate
1178,VER,beam
1179,VER,bust
1180,VER,cheer
1181,VER,circulate
1182,VER,cloud
1183,VER,commission
1184,VER,complain
1185,VER,compound
1186,VER,contract
1187,VER,cushion
1188,VER,deem
1189,VER,erect
1190,VER,excerpt
1191,VER,guard
1192,VER,hedge
1193,VER,heel
1194,VER,hesitate
1195,VER,hurry
1196,VER,illuminate
1197,VER,legalize
1198,VER,long
1199,VER,marvel
1200,VER,mate
1201,VER,minimize
1202,VER,moan
1203,VER,nominate
1204,VER,overlay
1205,VER,override
1206,VER,pedal
1207,VER,portray
1208,VER,pretend
1209,VER,pronounce
1210,VER,punch
1211,VER,rack
1212,VER,randomize
1213,VER,recharge
1214,VER,refine
1215,VER,reload
1216,VER,rely
1217,VER,remodel
1218,VER,resell
1219,VER,revise
1220,VER,rewrite
1221,VER,rig
1222,VER,satisfy
1223,VER,scent
1224,VER,scrub
1225,VER,shear
1226,VER,short
1227,VER,sight
1228,VER,size
1229,VER,spar
1230,VER,split
1231,VER,staff
1232,VER,steep
1233,VER,strip
1234,VER,suspect
1235,VER,tremble
1236,VER,trip
1237,VER,accelerate
1238,VER,adhere
1239,VER,assure
1240,VER,battle
1241,VER,bicycle
1242,VER,bill
1243,VER,blush
1244,VER,campaign
1245,VER,clamp
1246,VER,commemorate
1247,VER,compromise
1248,VER,concede
1249,VER,confront
1250,VER,contend
1251,VER,covenant
1252,VER,deceive
1253,VER,demolish
1254,VER,disagree
1255,VER,discontinue
1256,VER,downgrade
1257,VER,dub
1258,VER,dwell
1259,VER,ease
1260,VER,encompass
1261,VER,enforce
1262,VER,escort
1263,VER,exclaim
1264,VER,flatter
1265,VER,flirt
1266,VER,gas
1267,VER,handcraft
1268,VER,harden
1269,VER,incubate
1270,VER,interlock
1271,VER,laminate
1272,VER,mature
1273,VER,mow
1274,VER,occupy
1275,VER,offset
1276,VER,ovulate
1277,VER,perceive
1278,VER,polish
1279,VER,pot
1280,VER,proofread
1281,VER,pump
1282,VER,question
1283,VER,rebuild
1284,VER,renovate
1285,VER,replicate
1286,VER,reprint
1287,VER,reproduce
1288,VER,retouch
1289,VER,rush
1290,VER,sap
1291,VER,segment
1292,VER,shorten
1293,VER,simulate
1294,VER,slip
1295,VER,smooth
1296,VER,snip
1297,VER,substitute
1298,VER,surround
1299,VER,transplant
1300,VER,trap
1301,VER,traverse
1302,VER,vaccinate
1303,VER,video
1304,VER,wean
1305,VER,accent
1306,VER,alleviate
1307,VER,alter
1308,VER,anticipate
1309,VER,assert
1310,VER,attain
1311,VER,attempt
1312,VER,bank
1313,VER,baptize
1314,VER,best
1315,VER,beware
1316,VER,braid
1317,VER,breastfeed
1318,VER,clone
1319,VER,condemn
1320,VER,contest
1321,VER,convey
1322,VER,correct
1323,VER,crave
1324,VER,crush
1325,VER,curate
1326,VER,dedicate
1327,VER,designate
1328,VER,digest
1329,VER,digitize
1330,VER,disappear
1331,VER,dispense
1332,VER,dominate
1333,VER,drift
1334,VER,duplicate
1335,VER,ferry
1336,VER,flip
1337,VER,forward
1338,VER,foster
1339,VER,garnish
1340,VER,gasp
1341,VER,germinate
1342,VER,glaze
1343,VER,hug
1344,VER,impress
1345,VER,inherit
1346,VER,initiate
1347,VER,ink
1348,VER,input
1349,VER,insulate
1350,VER,iron
1351,VER,key
1352,VER,major
1353,VER,masturbate
1354,VER,memorize
1355,VER,orbit
1356,VER,pilot
1357,VER,pledge
1358,VER,proclaim
1359,VER,profit
1360,VER,raid
1361,VER,recite
1362,VER,refurbish
1363,VER,reign
1364,VER,reimburse
1365,VER,rejoice
1366,VER,remark
1367,VER,reside
1368,VER,restrict
1369,VER,reuse
1370,VER,revoke
1371,VER,round
1372,VER,sense
1373,VER,shred
1374,VER,signal
1375,VER,sip
1376,VER,slim
1377,VER,spark
1378,VER,stage
1379,VER,stress
1380,VER,strive
1381,VER,stuff
1382,VER,synchronize
1383,VER,tailor
1384,VER,tear
1385,VER,tolerate
1386,VER,transcribe
1387,VER,unveil
1388,VER,vend
1389,VER,wet
1390,VER,wound
1391,VER,anchor
1392,VER,ascend
1393,VER,attest
1394,VER,band
1395,VER,bath
1396,VER,bleach
1397,VER,bleed
1398,VER,bluff
1399,VER,bounce
1400,VER,brace
1401,VER,brief
1402,VER,brighten
1403,VER,buff
1404,VER,bully
1405,VER,calibrate
1406,VER,caption
1407,VER,carve
1408,VER,categorize
1409,VER,channel
1410,VER,chant
1411,VER,charter
1412,VER,complement
1413,VER,compost
1414,VER,conserve
1415,VER,consign
1416,VER,differ
1417,VER,discount
1418,VER,dislike
1419,VER,diversify
1420,VER,drip
1421,VER,dye
1422,VER,embrace
1423,VER,encounter
1424,VER,endeavour
1425,VER,err
1426,VER,etch
1427,VER,exhaust
1428,VER,factor
1429,VER,favor
1430,VER,fertilize
1431,VER,footnote
1432,VER,forage
1433,VER,forbid
1434,VER,fruit
1435,VER,fuse
1436,VER,ghost
1437,VER,graze
1438,VER,hail
1439,VER,harass
1440,VER,hex
1441,VER,imprint
1442,VER,infuse
1443,VER,inhabit
1444,VER,inquire
1445,VER,intercept
1446,VER,invade
1447,VER,kneel
1448,VER,lengthen
1449,VER,localize
1450,VER,loop
1451,VER,loose
1452,VER,mediate
1453,VER,mentor
1454,VER,mind
1455,VER,near
1456,VER,neuter
1457,VER,ordain
1458,VER,pan
1459,VER,patch
1460,VER,persuade
1461,VER,pierce
1462,VER,pivot
1463,VER,premier
1464,VER,promulgate
1465,VER,prophesy
1466,VER,prosecute
1467,VER,prospect
1468,VER,quicken
1469,VER,rape
1470,VER,rear
1471,VER,reason
1472,VER,refill
1473,VER,reinforce
1474,VER,reiterate
1475,VER,remand
1476,VER,remedy
1477,VER,replay
1478,VER,requisition
1479,VER,resemble
1480,VER,retreat
1481,VER,revive
1482,VER,safeguard
1483,VER,scar
1484,VER,scramble
1485,VER,scratch
1486,VER,season
1487,VER,seed
1488,VER,sequence
1489,VER,site
1490,VER,skydive
1491,VER,slay
1492,VER,snipe
1493,VER,soothe
1494,VER,soundproof
1495,VER,space
1496,VER,sprout
1497,VER,stab
1498,VER,station
1499,VER,steer
1500,VER,stride
1501,VER,subtract
1502,VER,summarize
1503,VER,sweat
1504,VER,tally
1505,VER,tame
1506,VER,taper
1507,VER,thrust
1508,VER,toll
1509,VER,tout
1510,VER,traffic
1511,VER,twist
1512,VER,unify
1513,VER,unplug
1514,VER,unwind
1515,VER,upset
1516,VER,vaporize
1517,VER,vet
1518,VER,voice
1519,VER,waive
1520,VER,weaken
1521,VER,abolish
1522,VER,accrue
1523,VER,advocate
1524,VER,airbrush
1525,VER,alarm
1526,VER,angle
1527,VER,annotate
1528,VER,anoint
1529,VER,apologize
1530,VER,arm
1531,VER,autograph
1532,VER,avail
1533,VER,avert
1534,VER,bang
1535,VER,banish
1536,VER,bathe
1537,VER,bay
1538,VER,beaver
1539,VER,behave
1540,VER,blast
1541,VER,blink
1542,VER,blur
1543,VER,bound
1544,VER,calm
1545,VER,career
1546,VER,caress
1547,VER,carp
1548,VER,catalyze
1549,VER,cease
1550,VER,center
1551,VER,charm
1552,VER,cherish
1553,VER,chime
1554,VER,choreograph
1555,VER,chuckle
1556,VER,clog
1557,VER,coax
1558,VER,cock
1559,VER,coil
1560,VER,collapse
1561,VER,compress
1562,VER,concur
1563,VER,condition
1564,VER,conform
1565,VER,construe
1566,VER,content
1567,VER,correlate
1568,VER,counsel
1569,VER,crack
1570,VER,cram
1571,VER,crank
1572,VER,crossover
1573,VER,crunch
1574,VER,curl
1575,VER,dart
1576,VER,debate
1577,VER,deck
1578,VER,decrypt
1579,VER,default
1580,VER,delay
1581,VER,delve
1582,VER,desert
1583,VER,detain
1584,VER,differentiate
1585,VER,diffuse
1586,VER,dilute
1587,VER,dish
1588,VER,dismiss
1589,VER,displace
1590,VER,dispose
1591,VER,dispute
1592,VER,disqualify
1593,VER,distinguish
1594,VER,dock
1595,VER,elevate
1596,VER,emit
1597,VER,enchant
1598,VER,enclose
1599,VER,enlighten
1600,VER,entrust
1601,VER,envision
1602,VER,excavate
1603,VER,excuse
1604,VER,exempt
1605,VER,exfoliate
1606,VER,experiment
1607,VER,fabricate
1608,VER,fancy
1609,VER,fascinate
1610,VER,fear
1611,VER,fetch
1612,VER,flood
1613,VER,foreclose
1614,VER,foretell
1615,VER,foul
1616,VER,freak
1617,VER,fulfil
