S,Word,Wor/Phr,Type,British phonetics,5916,LV,700,1334,800,260,412,20465
44,natural,W,adj,ˈnæʧrəl,5916,A1,700,1334,,,,20465
45,negative,W,adj,ˈnɛgətɪv,5916,A1,700,1334,,,,20465
46,new,W,adj,njuː,5916,A1,700,1334,,,,20465
47,number,W,n,ˈnʌmbə,5916,A1,700,1334,,,,20465
48,object,W,n,ˈɒbʤɪkt / əbˈʤɛkt,5916,A1,700,1334,,,,20465
49,order,W,n,ˈɔːdə,5916,A1,700,1334,,,,20465
50,part,W,n,pɑːt,5916,A1,700,1334,,,,20465
51,period,W,n,ˈpɪərɪəd,5916,A1,700,1334,,,,20465
52,point,W,n,pɔɪnt,5916,A1,700,1334,,,,20465
53,positive,W,adj,ˈpɒzətɪv,5916,A1,700,1334,,,,20465
54,possible,W,adj,ˈpɒsəbl,5916,A1,700,1334,,,,20465
55,practice,W,n,ˈpræktɪs,5916,A1,700,1334,,,,20465
56,problem,W,n,ˈprɒbləm,5916,A1,700,1334,,,,20465
57,product,W,n,ˈprɒdʌkt,5916,A1,700,1334,,,,20465
58,question,W,n,ˈkwɛsʧən,5916,A1,700,1334,,,,20465
59,reason,W,n,ˈriːzn,5916,A1,700,1334,,,,20465
60,result,W,n,rɪˈzʌlt,5916,A1,700,1334,,,,20465
61,rule,W,n,ruːl,5916,A1,700,1334,,,,20465
62,science,W,n,ˈsaɪəns,5916,A1,700,1334,,,,20465
63,section,W,n,ˈsɛkʃən,5916,A1,700,1334,,,,20465
64,show,W,v,ʃəʊ,5916,A1,700,1334,,,,20465
65,similar,W,adj,ˈsɪmɪlə,5916,A1,700,1334,,,,20465
66,situation,W,n,ˌsɪtjʊˈeɪʃən,5916,A1,700,1334,,,,20465
67,skill,W,n,skɪl,5916,A1,700,1334,,,,20465
68,space,W,n,speɪs,5916,A1,700,1334,,,,20465
69,study,W,n,ˈstʌdi,5916,A1,700,1334,,,,20465
70,study,W,v,ˈstʌdi,5916,A1,700,1334,,,,20465
71,subject,W,n,ˈsʌbʤɪkt / səbˈʤɛkt,5916,A1,700,1334,,,,20465
72,test,W,n,tɛst,5916,A1,700,1334,,,,20465
73,test,W,v,tɛst,5916,A1,700,1334,,,,20465
74,text,W,n,tɛkst,5916,A1,700,1334,,,,20465
75,topic,W,n,ˈtɒpɪk,5916,A1,700,1334,,,,20465
76,type,W,n,taɪp,5916,A1,700,1334,,,,20465
77,useful,W,adj,ˈjuːsfʊl,5916,A1,700,1334,,,,20465
78,world,W,n,wɜːld,5916,A1,700,1334,,,,20465
79,between,W,prep,bɪˈtwiːn,5916,A1,700,1334,,,,
80,can,W,modal,kæn,5916,A1,700,1334,,,,
81,can,W,v,kæn,5916,A1,700,1334,,,,
82,centre,W,n,ˈsɛntə,5916,A1,700,1334,,,,
83,however,W,adv,haʊˈɛvə,5916,A1,700,1334,,,,
84,often,W,adv,ˈɒf(ə)n / ˈɒft(ə)n,5916,A1,700,1334,,,,
85,use,W,v,juːz / juːs,5916,A1,700,1334,,,,
86,add,W,v,æd,5916,A1,700,,,,,20465
87,adult,W,n,ˈædʌlt,5916,A1,700,,,,,20465
88,answer,W,n,ˈɑːnsə,5916,A1,700,,,,,20465
89,answer,W,v,ˈɑːnsə,5916,A1,700,,,,,20465
90,become,W,v,bɪˈkʌm,5916,A1,700,,,,,20465
91,begin,W,v,bɪˈgɪn,5916,A1,700,,,,,20465
92,beginning,W,n,bɪˈgɪnɪŋ,5916,A1,700,,,,,20465
93,body,W,n,ˈbɒdi,5916,A1,700,,,,,20465
94,call,W,v,kɔːl,5916,A1,700,,,,,20465
95,choose,W,v,ʧuːz,5916,A1,700,,,,,20465
96,class,W,n,klɑːs,5916,A1,700,,,,,20465
97,course,W,n,kɔːs,5916,A1,700,,,,,20465
98,draw,W,v,drɔː,5916,A1,700,,,,,20465
99,end,W,n,ɛnd,5916,A1,700,,,,,20465
100,end,W,v,ɛnd,5916,A1,700,,,,,20465
101,exam,W,n,ɪgˈzæm,5916,A1,700,,,,,20465
102,famous,W,adj,ˈfeɪməs,5916,A1,700,,,,,20465
103,final,W,adj,ˈfaɪnl,5916,A1,700,,,,,20465
104,find,W,v,faɪnd,5916,A1,700,,,,,20465
105,free,W,adj,friː,5916,A1,700,,,,,20465
106,grow,W,v,grəʊ,5916,A1,700,,,,,20465
107,guess,W,n,gɛs,5916,A1,700,,,,,20465
108,guess,W,v,gɛs,5916,A1,700,,,,,20465
109,happen,W,v,ˈhæpən,5916,A1,700,,,,,20465
110,idea,W,n,aɪˈdɪə,5916,A1,700,,,,,20465
111,interested,W,adj,ˈɪntrɪstɪd,5916,A1,700,,,,,20465
112,interesting,W,adj,ˈɪntrɪstɪŋ,5916,A1,700,,,,,20465
113,key,W,n,kiː,5916,A1,700,,,,,20465
114,kind,W,n,kaɪnd,5916,A1,700,,,,,20465
115,learn,W,v,lɜːn,5916,A1,700,,,,,20465
116,look,W,v,lʊk,5916,A1,700,,,,,20465
117,moment,W,n,ˈməʊmənt,5916,A1,700,,,,,20465
118,move,W,v,muːv,5916,A1,700,,,,,20465
119,need,W,v,niːd,5916,A1,700,,,,,20465
120,note,W,n,nəʊt,5916,A1,700,,,,,20465
121,order,W,v,ˈɔːdə,5916,A1,700,,,,,20465
122,picture,W,n,ˈpɪkʧə,5916,A1,700,,,,,20465
123,popular,W,adj,ˈpɒpjʊlə,5916,A1,700,,,,,20465
124,prefer,W,v,priˈfɜː,5916,A1,700,,,,,20465
125,read,W,v,riːd / rɛd,5916,A1,700,,,,,20465
126,reading,W,n,ˈriːdɪŋ / ˈrɛdɪŋ,5916,A1,700,,,,,20465
127,real,W,adj,rɪəl / reɪˈɑːl,5916,A1,700,,,,,20465
128,small,W,adj,smɔːl,5916,A1,700,,,,,20465
129,story,W,n,ˈstɔːri,5916,A1,700,,,,,20465
130,student,W,n,ˈstjuːdənt,5916,A1,700,,,,,20465
131,style,W,n,staɪl,5916,A1,700,,,,,20465
132,talk,W,v,tɔːk,5916,A1,700,,,,,20465
133,teach,W,v,tiːʧ,5916,A1,700,,,,,20465
134,teacher,W,n,ˈtiːʧə,5916,A1,700,,,,,20465
135,thing,W,n,θɪŋ,5916,A1,700,,,,,20465
136,title,W,n,ˈtaɪtl,5916,A1,700,,,,,20465
137,true,W,adj,truː,5916,A1,700,,,,,20465
138,try,W,v,traɪ,5916,A1,700,,,,,20465
139,understand,W,v,ˌʌndəˈstænd,5916,A1,700,,,,,20465
140,university,W,n,ˌjuːnɪˈvɜːsɪti,5916,A1,700,,,,,20465
141,way,W,n,weɪ,5916,A1,700,,,,,20465
142,word,W,n,wɜːd,5916,A1,700,,,,,20465
143,write,W,v,raɪt,5916,A1,700,,,,,20465
144,again,W,adv,əˈgɛn,5916,A1,700,,,,,
145,also,W,adv,ˈɔːlsəʊ,5916,A1,700,,,,,
146,because,W,conj,bɪˈkɒz,5916,A1,700,,,,,
147,here,W,adv,hɪə,5916,A1,700,,,,,
148,later,W,adv,ˈleɪtə,5916,A1,700,,,,,
149,many,W,pron,ˈmɛni,5916,A1,700,,,,,
150,OK,W,adj,ˈəʊˈkeɪ,5916,A1,700,,,,,
151,OK,W,adv,ˈəʊˈkeɪ,5916,A1,700,,,,,
152,OK,W,exclam,ˈəʊˈkeɪ,5916,A1,700,,,,,
153,quickly,W,adv,ˈkwɪkli,5916,A1,700,,,,,
154,same,W,adj,seɪm,5916,A1,700,,,,,
155,same,W,pron,seɪm,5916,A1,700,,,,,
156,so,W,conj,səʊ,5916,A1,700,,,,,
157,sometimes,W,adv,ˈsʌmtaɪmz,5916,A1,700,,,,,
158,together,W,adv,təˈgɛðə,5916,A1,700,,,,,
159,very,W,adv,ˈvɛri,5916,A1,700,,,,,
160,age,W,n,eɪʤ,5916,A1,,1334,,,,20465
161,animal,W,n,ˈænɪməl,5916,A1,,1334,,,,20465
162,century,W,n,ˈsɛnʧʊri,5916,A1,,1334,,,,20465
163,correct,W,adj,kəˈrɛkt,5916,A1,,1334,,,,20465
164,exercise,W,n,ˈɛksəsaɪz,5916,A1,,1334,,,,20465
165,exercise,W,v,ˈɛksəsaɪz,5916,A1,,1334,,,,20465
166,future,W,n,ˈfjuːʧə,5916,A1,,1334,,,,20465
167,improve,W,v,ɪmˈpruːv,5916,A1,,1334,,,,20465
168,include,W,v,ɪnˈkluːd,5916,A1,,1334,,,,20465
169,interview,W,n,ˈɪntəvjuː,5916,A1,,1334,,,,20465
170,interview,W,v,ˈɪntəvjuː,5916,A1,,1334,,,,20465
171,local,W,adj,ˈləʊkəl,5916,A1,,1334,,,,20465
172,meaning,W,n,ˈmiːnɪŋ,5916,A1,,1334,,,,20465
173,member,W,n,ˈmɛmbə,5916,A1,,1334,,,,20465
174,must,W,v,mʌst,5916,A1,,1334,,,,20465
175,online,W,adj,ˈɒnˌlaɪn,5916,A1,,1334,,,,20465
176,other,W,adj,ˈʌðə,5916,A1,,1334,,,,20465
177,personal,W,adj,ˈpɜːsnl,5916,A1,,1334,,,,20465
178,present,W,adj,ˈprɛznt / prɪˈzɛnt,5916,A1,,1334,,,,20465
179,present,W,n,ˈprɛznt / prɪˈzɛnt,5916,A1,,1334,,,,20465
180,project,W,n,ˈprɒʤɛkt / prəˈʤɛkt,5916,A1,,1334,,,,20465
181,report,W,n,rɪˈpɔːt,5916,A1,,1334,,,,20465
182,right,W,n,raɪt,5916,A1,,1334,,,,20465
183,share,W,v,ʃeə,5916,A1,,1334,,,,20465
184,should,W,v,ʃʊd,5916,A1,,1334,,,,20465
185,statement,W,n,ˈsteɪtmənt,5916,A1,,1334,,,,20465
186,website,W,n,ˈwɛbˌsaɪt,5916,A1,,1334,,,,20465
187,above,W,adv,əˈbʌv,5916,A1,,1334,,,,
188,below,W,adv,bɪˈləʊ,5916,A1,,1334,,,,
189,below,W,prep,bɪˈləʊ,5916,A1,,1334,,,,
190,during,W,prep,ˈdjʊərɪŋ,5916,A1,,1334,,,,
191,many,W,det,ˈmɛni,5916,A1,,1334,,,,
192,most,W,det,məʊst,5916,A1,,1334,,,,
193,must,W,modal,mʌst,5916,A1,,1334,,,,
194,programme,W,n,ˈprəʊgræm,5916,A1,,1334,,,,
195,should,W,modal,ʃʊd,5916,A1,,1334,,,,
196,actor,W,n,ˈæktə,5916,A1,,,,,,20465
197,actress,W,n,ˈæktrɪs,5916,A1,,,,,,20465
198,address,W,n,əˈdrɛs,5916,A1,,,,,,20465
199,advice,W,n,ədˈvaɪs,5916,A1,,,,,,20465
200,afraid,W,adj,əˈfreɪd,5916,A1,,,,,,20465
201,afternoon,W,n,ˈɑːftəˈnuːn,5916,A1,,,,,,20465
202,agree,W,v,əˈgriː,5916,A1,,,,,,20465
203,air,W,n,eə,5916,A1,,,,,,20465
204,airport,W,n,ˈeəpɔːt,5916,A1,,,,,,20465
205,amazing,W,adj,əˈmeɪzɪŋ,5916,A1,,,,,,20465
206,angry,W,adj,ˈæŋgri,5916,A1,,,,,,20465
207,apartment,W,n,əˈpɑːtmənt,5916,A1,,,,,,20465
208,apple,W,n,ˈæpl,5916,A1,,,,,,20465
209,arm,W,n,ɑːm,5916,A1,,,,,,20465
210,arrive,W,v,əˈraɪv,5916,A1,,,,,,20465
211,art,W,n,ɑːt,5916,A1,,,,,,20465
212,artist,W,n,ˈɑːtɪst,5916,A1,,,,,,20465
213,ask,W,v,ɑːsk,5916,A1,,,,,,20465
214,aunt,W,n,ɑːnt,5916,A1,,,,,,20465
215,autumn,W,n,ˈɔːtəm,5916,A1,,,,,,20465
216,baby,W,n,ˈbeɪbi,5916,A1,,,,,,20465
217,back,W,n,bæk,5916,A1,,,,,,20465
218,bad,W,adj,bæd,5916,A1,,,,,,20465
219,bag,W,n,bæg,5916,A1,,,,,,20465
220,ball,W,n,bɔːl,5916,A1,,,,,,20465
221,banana,W,n,bəˈnɑːnə,5916,A1,,,,,,20465
222,band,W,n,bænd,5916,A1,,,,,,20465
223,bank,W,n,bæŋk,5916,A1,,,,,,20465
224,bath,W,n,bɑːθ,5916,A1,,,,,,20465
225,bathroom,W,n,ˈbɑːθru(ː)m,5916,A1,,,,,,20465
226,beach,W,n,biːʧ,5916,A1,,,,,,20465
227,beautiful,W,adj,ˈbjuːtəfʊl,5916,A1,,,,,,20465
228,bed,W,n,bɛd,5916,A1,,,,,,20465
229,bedroom,W,n,ˈbɛdru(ː)m,5916,A1,,,,,,20465
230,beer,W,n,bɪə,5916,A1,,,,,,20465
231,believe,W,v,bɪˈliːv,5916,A1,,,,,,20465
232,best,W,adj,bɛst,5916,A1,,,,,,20465
233,better,W,adj,ˈbɛtə,5916,A1,,,,,,20465
234,bicycle,W,n,ˈbaɪsɪkl,5916,A1,,,,,,20465
235,big,W,adj,bɪg,5916,A1,,,,,,20465
236,bike,W,n,baɪk,5916,A1,,,,,,20465
237,bill,W,n,bɪl,5916,A1,,,,,,20465
238,bird,W,n,bɜːd,5916,A1,,,,,,20465
239,birthday,W,n,ˈbɜːθdeɪ,5916,A1,,,,,,20465
240,black,W,adj,blæk,5916,A1,,,,,,20465
241,black,W,n,blæk,5916,A1,,,,,,20465
242,blog,W,n,blɒg,5916,A1,,,,,,20465
243,blonde,W,adj,blɒnd,5916,A1,,,,,,20465
244,blue,W,adj,bluː,5916,A1,,,,,,20465
245,blue,W,n,bluː,5916,A1,,,,,,20465
246,boat,W,n,bəʊt,5916,A1,,,,,,20465
247,book,W,n,bʊk,5916,A1,,,,,,20465
248,boot,W,n,buːt,5916,A1,,,,,,20465
249,bored,W,adj,bɔːd,5916,A1,,,,,,20465
250,boring,W,adj,ˈbɔːrɪŋ,5916,A1,,,,,,20465
251,born,W,v,bɔːn,5916,A1,,,,,,20465
252,bottle,W,n,ˈbɒtl,5916,A1,,,,,,20465
253,box,W,n,bɒks,5916,A1,,,,,,20465
254,boy,W,n,bɔɪ,5916,A1,,,,,,20465
255,boyfriend,W,n,ˈbɔɪˌfrɛnd,5916,A1,,,,,,20465
256,bread,W,n,brɛd,5916,A1,,,,,,20465
257,break,W,n,breɪk,5916,A1,,,,,,20465
258,break,W,v,breɪk,5916,A1,,,,,,20465
259,breakfast,W,n,ˈbrɛkfəst,5916,A1,,,,,,20465
260,bring,W,v,brɪŋ,5916,A1,,,,,,20465
261,brother,W,n,ˈbrʌðə,5916,A1,,,,,,20465
262,brown,W,adj,braʊn,5916,A1,,,,,,20465
263,brown,W,n,braʊn,5916,A1,,,,,,20465
264,build,W,v,bɪld,5916,A1,,,,,,20465
265,building,W,n,ˈbɪldɪŋ,5916,A1,,,,,,20465
266,bus,W,n,bʌs,5916,A1,,,,,,20465
267,business,W,n,ˈbɪznɪs,5916,A1,,,,,,20465
268,busy,W,adj,ˈbɪzi,5916,A1,,,,,,20465
269,butter,W,n,ˈbʌtə,5916,A1,,,,,,20465
270,buy,W,v,baɪ,5916,A1,,,,,,20465
271,cafe,W,n,ˈkæfeɪ,5916,A1,,,,,,20465
272,cake,W,n,keɪk,5916,A1,,,,,,20465
273,call,W,n,kɔːl,5916,A1,,,,,,20465
274,camera,W,n,ˈkæmərə,5916,A1,,,,,,20465
275,capital,W,adj,ˈkæpɪtl,5916,A1,,,,,,20465
276,capital,W,n,ˈkæpɪtl,5916,A1,,,,,,20465
277,car,W,n,kɑː,5916,A1,,,,,,20465
278,card,W,n,kɑːd,5916,A1,,,,,,20465
279,career,W,n,kəˈrɪə,5916,A1,,,,,,20465
280,carrot,W,n,ˈkærət,5916,A1,,,,,,20465
281,carry,W,v,ˈkæri,5916,A1,,,,,,20465
282,cat,W,n,kæt,5916,A1,,,,,,20465
283,chair,W,n,ʧeə,5916,A1,,,,,,20465
284,chart,W,n,ʧɑːt,5916,A1,,,,,,20465
285,cheap,W,adj,ʧiːp,5916,A1,,,,,,20465
286,check,W,v,ʧɛk,5916,A1,,,,,,20465
287,cheese,W,n,ʧiːz,5916,A1,,,,,,20465
288,chicken,W,n,ˈʧɪkɪn,5916,A1,,,,,,20465
289,child,W,n,ʧaɪld,5916,A1,,,,,,20465
290,chocolate,W,n,ˈʧɒkəlɪt,5916,A1,,,,,,20465
291,cinema,W,n,ˈsɪnəmə,5916,A1,,,,,,20465
292,city,W,n,ˈsɪti,5916,A1,,,,,,20465
293,classroom,W,n,ˈklɑːsrʊm,5916,A1,,,,,,20465
294,clean,W,adj,kliːn,5916,A1,,,,,,20465
295,clean,W,v,kliːn,5916,A1,,,,,,20465
296,climb,W,v,klaɪm,5916,A1,,,,,,20465
297,clock,W,n,klɒk,5916,A1,,,,,,20465
298,close,W,v,kləʊs / kləʊz,5916,A1,,,,,,20465
299,clothes,W,n,kləʊðz,5916,A1,,,,,,20465
300,club,W,n,klʌb,5916,A1,,,,,,20465
301,coat,W,n,kəʊt,5916,A1,,,,,,20465
302,coffee,W,n,ˈkɒfi,5916,A1,,,,,,20465
303,cold,W,adj,kəʊld,5916,A1,,,,,,20465
304,cold,W,n,kəʊld,5916,A1,,,,,,20465
305,college,W,n,ˈkɒlɪʤ,5916,A1,,,,,,20465
306,come,W,v,kʌm,5916,A1,,,,,,20465
307,company,W,n,ˈkʌmpəni,5916,A1,,,,,,20465
308,complete,W,adj,kəmˈpliːt,5916,A1,,,,,,20465
309,complete,W,v,kəmˈpliːt,5916,A1,,,,,,20465
310,computer,W,n,kəmˈpjuːtə,5916,A1,,,,,,20465
311,concert,W,n,ˈkɒnsə(ː)t / kənˈsɜːt,5916,A1,,,,,,20465
312,conversation,W,n,ˌkɒnvəˈseɪʃən,5916,A1,,,,,,20465
313,cook,W,v,kʊk,5916,A1,,,,,,20465
314,cooking,W,n,ˈkʊkɪŋ,5916,A1,,,,,,20465
315,cool,W,adj,kuːl,5916,A1,,,,,,20465
316,correct,W,v,kəˈrɛkt,5916,A1,,,,,,20465
317,cost,W,n,kɒst,5916,A1,,,,,,20465
318,cost,W,v,kɒst,5916,A1,,,,,,20465
319,could,W,v,kʊd,5916,A1,,,,,,20465
320,cousin,W,n,ˈkʌzn,5916,A1,,,,,,20465
321,cow,W,n,kaʊ,5916,A1,,,,,,20465
322,cream,W,n,kriːm,5916,A1,,,,,,20465
323,cup,W,n,kʌp,5916,A1,,,,,,20465
324,customer,W,n,ˈkʌstəmə,5916,A1,,,,,,20465
325,cut,W,v,kʌt,5916,A1,,,,,,20465
326,dad,W,n,dæd,5916,A1,,,,,,20465
327,dance,W,n,dɑːns,5916,A1,,,,,,20465
328,dance,W,v,dɑːns,5916,A1,,,,,,20465
329,dancer,W,n,ˈdɑːnsə,5916,A1,,,,,,20465
330,dancing,W,n,ˈdɑːnsɪŋ,5916,A1,,,,,,20465
331,dangerous,W,adj,ˈdeɪnʤrəs,5916,A1,,,,,,20465
332,dark,W,adj,dɑːk,5916,A1,,,,,,20465
333,date,W,n,deɪt,5916,A1,,,,,,20465
334,daughter,W,n,ˈdɔːtə,5916,A1,,,,,,20465
335,day,W,n,deɪ,5916,A1,,,,,,20465
336,dear,W,adj,dɪə,5916,A1,,,,,,20465
337,decide,W,v,dɪˈsaɪd,5916,A1,,,,,,20465
338,delicious,W,adj,dɪˈlɪʃəs,5916,A1,,,,,,20465
339,desk,W,n,dɛsk,5916,A1,,,,,,20465
340,dialogue,W,n,ˈdaɪəlɒg,5916,A1,,,,,,20465
341,dictionary,W,n,ˈdɪkʃ(ə)n(ə)ri,5916,A1,,,,,,20465
342,die,W,v,daɪ,5916,A1,,,,,,20465
343,diet,W,n,ˈdaɪət,5916,A1,,,,,,20465
344,dinner,W,n,ˈdɪnə,5916,A1,,,,,,20465
345,dirty,W,adj,ˈdɜːti,5916,A1,,,,,,20465
346,dish,W,n,dɪʃ,5916,A1,,,,,,20465
347,doctor,W,n,ˈdɒktə,5916,A1,,,,,,20465
348,dog,W,n,dɒg,5916,A1,,,,,,20465
349,door,W,n,dɔː,5916,A1,,,,,,20465
350,dress,W,n,drɛs,5916,A1,,,,,,20465
351,dress,W,v,drɛs,5916,A1,,,,,,20465
352,drink,W,n,drɪŋk,5916,A1,,,,,,20465
353,drink,W,v,drɪŋk,5916,A1,,,,,,20465
354,drive,W,v,draɪv,5916,A1,,,,,,20465
355,driver,W,n,ˈdraɪvə,5916,A1,,,,,,20465
356,ear,W,n,ɪə,5916,A1,,,,,,20465
357,east,W,n,iːst,5916,A1,,,,,,20465
358,easy,W,adj,ˈiːzi,5916,A1,,,,,,20465
359,eat,W,v,iːt,5916,A1,,,,,,20465
360,egg,W,n,ɛg,5916,A1,,,,,,20465
361,elephant,W,n,ˈɛlɪfənt,5916,A1,,,,,,20465
362,enjoy,W,v,ɪnˈʤɔɪ,5916,A1,,,,,,20465
363,euro,W,n,ˈjʊərəʊ,5916,A1,,,,,,20465
364,evening,W,n,ˈiːvnɪŋ,5916,A1,,,,,,20465
365,excited,W,adj,ɪkˈsaɪtɪd,5916,A1,,,,,,20465
366,exciting,W,adj,ɪkˈsaɪtɪŋ,5916,A1,,,,,,20465
367,expensive,W,adj,ɪksˈpɛnsɪv,5916,A1,,,,,,20465
368,extra,W,adj,ˈɛkstrə,5916,A1,,,,,,20465
369,eye,W,n,aɪ,5916,A1,,,,,,20465
370,face,W,n,feɪs,5916,A1,,,,,,20465
371,fall,W,v,fɔːl,5916,A1,,,,,,20465
372,false,W,adj,fɔːls,5916,A1,,,,,,20465
373,family,W,n,ˈfæmɪli,5916,A1,,,,,,20465
374,fantastic,W,adj,fænˈtæstɪk,5916,A1,,,,,,20465
375,farm,W,n,fɑːm,5916,A1,,,,,,20465
376,farmer,W,n,ˈfɑːmə,5916,A1,,,,,,20465
377,fast,W,adj,fɑːst,5916,A1,,,,,,20465
378,fat,W,adj,fæt,5916,A1,,,,,,20465
379,father,W,n,ˈfɑːðə,5916,A1,,,,,,20465
380,favourite,W,adj,ˈfeɪvərɪt,5916,A1,,,,,,20465
381,favourite,W,n,ˈfeɪvərɪt,5916,A1,,,,,,20465
382,feel,W,v,fiːl,5916,A1,,,,,,20465
383,feeling,W,n,ˈfiːlɪŋ,5916,A1,,,,,,20465
384,festival,W,n,ˈfɛstəvəl,5916,A1,,,,,,20465
385,fill,W,v,fɪl,5916,A1,,,,,,20465
386,film,W,n,fɪlm,5916,A1,,,,,,20465
387,fine,W,adj,faɪn,5916,A1,,,,,,20465
388,finish,W,v,ˈfɪnɪʃ,5916,A1,,,,,,20465
389,fire,W,n,ˈfaɪə,5916,A1,,,,,,20465
390,fish,W,n,fɪʃ,5916,A1,,,,,,20465
391,flight,W,n,flaɪt,5916,A1,,,,,,20465
392,floor,W,n,flɔː,5916,A1,,,,,,20465
393,flower,W,n,ˈflaʊə,5916,A1,,,,,,20465
394,fly,W,v,flaɪ,5916,A1,,,,,,20465
395,follow,W,v,ˈfɒləʊ,5916,A1,,,,,,20465
396,food,W,n,fuːd,5916,A1,,,,,,20465
397,foot,W,n,fʊt,5916,A1,,,,,,20465
398,football,W,n,ˈfʊtbɔːl,5916,A1,,,,,,20465
399,forget,W,v,fəˈgɛt,5916,A1,,,,,,20465
400,friend,W,n,frɛnd,5916,A1,,,,,,20465
401,friendly,W,adj,ˈfrɛndli,5916,A1,,,,,,20465
402,front,W,adj,frʌnt,5916,A1,,,,,,20465
403,front,W,n,frʌnt,5916,A1,,,,,,20465
404,fruit,W,n,fruːt,5916,A1,,,,,,20465
405,full,W,adj,fʊl,5916,A1,,,,,,20465
406,fun,W,n,fʌn,5916,A1,,,,,,20465
407,funny,W,adj,ˈfʌni,5916,A1,,,,,,20465
408,game,W,n,geɪm,5916,A1,,,,,,20465
409,garden,W,n,ˈgɑːdn,5916,A1,,,,,,20465
410,geography,W,n,ʤɪˈɒgrəfi,5916,A1,,,,,,20465
411,girl,W,n,gɜːl,5916,A1,,,,,,20465
412,girlfriend,W,n,ˈgɜːlˌfrɛnd,5916,A1,,,,,,20465
413,give,W,v,gɪv,5916,A1,,,,,,20465
414,glass,W,n,glɑːs,5916,A1,,,,,,20465
415,good,W,adj,gʊd,5916,A1,,,,,,20465
416,grandfather,W,n,ˈgrændˌfɑːðə,5916,A1,,,,,,20465
417,grandmother,W,n,ˈgrænˌmʌðə,5916,A1,,,,,,20465
418,grandparent,W,n,ˈgrænpeərənt,5916,A1,,,,,,20465
419,great,W,adj,greɪt,5916,A1,,,,,,20465
420,green,W,adj,griːn,5916,A1,,,,,,20465
421,green,W,n,griːn,5916,A1,,,,,,20465
422,guitar,W,n,gɪˈtɑː,5916,A1,,,,,,20465
423,gym,W,n,ʤɪm,5916,A1,,,,,,20465
424,hair,W,n,heə,5916,A1,,,,,,20465
425,half,W,n,hɑːf,5916,A1,,,,,,20465
426,hand,W,n,hænd,5916,A1,,,,,,20465
